date,open,highest,lowest,close,volume
2024-01-05 20:37:00+00:00,180.4915,180.5,180.36,180.38,137084
2024-01-05 20:38:00+00:00,180.38,180.505,180.38,180.49,123020
2024-01-05 20:39:00+00:00,180.499,180.535,180.4701,180.535,118871
2024-01-05 20:40:00+00:00,180.535,180.545,180.4901,180.5198,149893
2024-01-05 20:41:00+00:00,180.515,180.58,180.51,180.5798,154407
2024-01-05 20:42:00+00:00,180.57,180.63,180.5699,180.6295,150162
2024-01-05 20:43:00+00:00,180.63,180.64,180.54,180.6117,171891
2024-01-05 20:44:00+00:00,180.615,180.7,180.595,180.6973,133487
2024-01-05 20:45:00+00:00,180.7,180.8,180.7,180.765,183862
2024-01-05 20:46:00+00:00,180.765,180.785,180.69,180.7601,157055
2024-01-05 20:47:00+00:00,180.76,180.79,180.7,180.7088,152517
2024-01-05 20:48:00+00:00,180.7089,180.78,180.68,180.7699,133465
2024-01-05 20:49:00+00:00,180.77,180.8577,180.69,180.85,146725
2024-01-05 20:50:00+00:00,180.85,180.94,180.8,180.8701,206557
2024-01-05 20:51:00+00:00,180.875,180.91,180.83,180.86,174283
2024-01-05 20:52:00+00:00,180.865,180.94,180.865,180.885,227691
2024-01-05 20:53:00+00:00,180.885,180.93,180.79,180.8145,205385
2024-01-05 20:54:00+00:00,180.8105,181.21,180.8105,181.12,511586
2024-01-05 20:55:00+00:00,181.115,181.26,181.1,181.145,366218
2024-01-05 20:56:00+00:00,181.14,181.1499,181.06,181.06,267299
2024-01-05 20:57:00+00:00,181.065,181.1,181.03,181.08,380989
2024-01-05 20:58:00+00:00,181.08,181.18,181.075,181.16,438443
2024-01-05 20:59:00+00:00,181.165,181.19,181.01,181.18,1008885
2024-01-05 21:00:00+00:00,181.17,181.19,181.11,181.18,8535580
2024-01-05 21:01:00+00:00,181.18,181.18,181.12,181.17,136884
2024-01-05 21:02:00+00:00,181.17,181.2601,181.17,181.26,293661
2024-01-05 21:03:00+00:00,181.26,181.27,181.25,181.26,4386
2024-01-05 21:04:00+00:00,181.26,181.26,181.2,181.2,3085
2024-01-05 21:05:00+00:00,181.2,181.225,181.18,181.18,17243
2024-01-05 21:06:00+00:00,181.18,181.18,181.1,181.1,6942
2024-01-05 21:07:00+00:00,181.1,181.1,181.02,181.03,19757
2024-01-05 21:08:00+00:00,181.04,181.18,180.94,180.94,85730
2024-01-05 21:09:00+00:00,180.94,180.96,180.85,180.85,16967
2024-01-05 21:10:00+00:00,180.81,180.92,180.81,180.84,10093
2024-01-05 21:11:00+00:00,180.85,180.85,180.8133,180.8134,8092
2024-01-05 21:12:00+00:00,180.85,180.85,180.8305,180.85,1736
2024-01-05 21:13:00+00:00,180.86,180.86,180.79,180.8,12053
2024-01-05 21:14:00+00:00,180.8,180.85,180.8,180.84,6535
2024-01-05 21:15:00+00:00,180.82,180.82,180.8,180.8082,1035
2024-01-05 21:16:00+00:00,180.82,180.84,180.82,180.84,2222
2024-01-05 21:17:00+00:00,180.85,180.85,180.85,180.85,511469
2024-01-05 21:18:00+00:00,180.85,180.85,180.84,180.84,1280
2024-01-05 21:19:00+00:00,180.83,180.85,180.83,180.85,1081
2024-01-05 21:20:00+00:00,180.85,180.86,180.79,180.79,4498
2024-01-05 21:21:00+00:00,180.76,180.83,180.76,180.83,2411
2024-01-05 21:22:00+00:00,180.83,180.83,180.83,180.83,485
2024-01-05 21:23:00+00:00,180.8201,180.8201,180.8201,180.8201,585
2024-01-05 21:25:00+00:00,180.82,180.82,180.82,180.82,1054
2024-01-05 21:26:00+00:00,180.86,180.88,180.86,180.86,1755
2024-01-05 21:27:00+00:00,180.86,180.88,180.86,180.88,1025
